,Date,Duration,Distance,id,Game Day,Days Before Match,Days After Match
51,2021-01-05 00:00:00,117.016670227051,10755.2914123535,41,1,0,0
1554,2021-01-11 00:00:00,14.5993337631226,1896.2657562408701,41,1,0,0
1667,2021-01-20 00:00:00,62.033332824707,3670.72552490234,41,1,0,0
1674,2021-01-25 00:00:00,35.99733352661129,4095.2076885833703,41,1,0,0
1280,2021-01-31 00:00:00,61.8833351135254,2167.32593917847,41,1,0,0
420,2021-02-06 00:00:00,21.673999786377,2565.5664595186104,41,1,0,0
633,2021-02-09 00:00:00,109.150001525879,7647.33584594727,41,1,0,0
241,2021-02-14 00:00:00,74.6666641235352,3322.03415489197,41,1,0,0
358,2021-02-19 00:00:00,84.43333435058591,8541.21574401855,41,1,0,0
480,2021-03-06 00:00:00,61.3499984741211,1935.2023375034303,41,1,0,0
1741,2018-09-27 00:00:00,64.783332824707,5137.70119094849,42,1,0,0
1760,2018-10-01 00:00:00,63.6333351135254,8196.06684875488,42,1,0,0
1765,2018-10-06 00:00:00,39.493335723877,5609.8000946044895,42,1,0,0
469,2019-07-21 00:00:00,64.0,5191.81980133057,42,1,0,0
93,2019-08-07 00:00:00,73.0,7404.28712463379,42,1,0,0
988,2019-08-24 00:00:00,69.0,5612.7751007080105,42,1,0,0
989,2019-08-24 00:00:00,18.033332824707,1394.68579530716,42,1,0,0
718,2019-08-31 00:00:00,26.5206661224365,3391.0031441849,42,1,0,0
1718,2018-08-19 00:00:00,107.147338867188,12178.891166686999,44,1,0,0
1697,2018-08-24 00:00:00,113.24932861328101,11230.7637634277,44,1,0,0
1701,2018-08-31 00:00:00,112.23666381835899,11073.9025268555,44,1,0,0
1707,2018-09-22 00:00:00,112.816665649414,11786.6325645447,44,1,0,0
1724,2018-09-27 00:00:00,112.133331298828,10984.0589904785,44,1,0,0
1708,2018-10-01 00:00:00,110.0,8378.9128112793,44,1,0,0
1792,2018-10-06 00:00:00,69.7606658935547,7236.91423034668,44,1,0,0
792,2018-10-21 00:00:00,107.0,11060.6297149658,44,1,0,0
1177,2018-10-28 00:00:00,110.0,11698.0995025635,44,1,0,0
931,2018-11-04 00:00:00,110.0,12236.130935668898,44,1,0,0
998,2018-11-10 00:00:00,110.0,12470.622253418,44,1,0,0
729,2018-11-25 00:00:00,110.0,11493.7978515625,44,1,0,0
990,2018-12-01 00:00:00,102.0,10938.8863220215,44,1,0,0
404,2018-12-07 00:00:00,84.0,10509.0169296265,44,1,0,0
883,2018-12-15 00:00:00,103.0,12985.124984741202,44,1,0,0
567,2018-12-21 00:00:00,105.0,13674.858642578101,44,1,0,0
187,2019-01-06 00:00:00,110.0,11357.2362976074,44,1,0,0
1178,2019-01-12 00:00:00,110.0,12875.380615234399,44,1,0,0
1364,2019-01-15 00:00:00,110.0,11304.642578125,44,1,0,0
1197,2019-01-22 00:00:00,110.0,11112.871520996101,44,1,0,0
991,2019-01-26 00:00:00,110.0,11899.9369430542,44,1,0,0
61,2019-01-29 00:00:00,38.0,7443.21197509766,44,1,0,0
62,2019-02-02 00:00:00,110.0,13168.506164550801,44,1,0,0
487,2019-02-09 00:00:00,76.0,9488.09599304199,44,1,0,0
1673,2019-03-03 00:00:00,77.0,10552.1070098877,44,1,0,0
161,2019-03-09 00:00:00,110.0,11254.185836792,44,1,0,0
169,2019-03-17 00:00:00,80.0,7844.781112670899,44,1,0,0
647,2019-03-30 00:00:00,83.0,7923.55966949463,44,1,0,0
1365,2019-04-02 00:00:00,15.0,2845.46919059753,44,1,0,0
1482,2019-04-07 00:00:00,110.0,11125.007537841799,44,1,0,0
767,2019-04-14 00:00:00,110.0,10682.3041687012,44,1,0,0
353,2019-04-21 00:00:00,110.0,10879.4105072021,44,1,0,0
1058,2019-04-25 00:00:00,110.0,11255.648712158201,44,1,0,0
1179,2019-05-05 00:00:00,110.0,10965.6284637451,44,1,0,0
1355,2019-05-12 00:00:00,110.0,12151.6990966797,44,1,0,0
1145,2019-05-18 00:00:00,110.0,10997.0798492432,44,1,0,0
188,2019-07-21 00:00:00,61.0,6266.030937194821,44,1,0,0
671,2019-08-18 00:00:00,110.0,11290.046951293898,44,1,0,0
672,2019-08-18 00:00:00,17.483333587646502,1333.92693662643,44,1,0,0
1154,2019-08-24 00:00:00,18.033332824707,1352.74111890793,44,1,0,0
1155,2019-08-24 00:00:00,110.0,11224.7144317627,44,1,0,0
124,2019-08-31 00:00:00,110.0,11450.7469024658,44,1,0,0
1075,2019-09-15 00:00:00,110.0,10852.5223693848,44,1,0,0
454,2019-09-19 00:00:00,5.0,1916.6709861755398,44,1,0,0
254,2019-09-22 00:00:00,110.0,10133.3797149658,44,1,0,0
1070,2019-09-25 00:00:00,110.0,11833.904815673799,44,1,0,0
664,2019-09-28 00:00:00,110.0,11064.6518554688,44,1,0,0
614,2019-10-19 00:00:00,110.0,11643.512802124,44,1,0,0
606,2019-10-27 00:00:00,110.0,11744.2617492676,44,1,0,0
1442,2019-10-31 00:00:00,17.1833324432373,1264.03782737255,44,1,0,0
1443,2019-10-31 00:00:00,110.0,10893.8699493408,44,1,0,0
1275,2019-11-03 00:00:00,110.0,12251.5165405273,44,1,0,0
927,2019-11-10 00:00:00,110.0,0.0,44,1,0,0
648,2019-11-24 00:00:00,110.0,11602.631286621101,44,1,0,0
20,2019-11-28 00:00:00,110.0,11233.4253692627,44,1,0,0
1577,2019-12-08 00:00:00,116.800003051758,11497.1856994629,44,1,0,0
119,2019-12-12 00:00:00,96.0,8829.72785949707,44,1,0,0
112,2019-12-15 00:00:00,110.0,12116.5749664307,44,1,0,0
14,2019-12-21 00:00:00,110.0,11415.0900268555,44,1,0,0
372,2020-01-04 00:00:00,110.0,12021.337371826201,44,1,0,0
34,2020-01-11 00:00:00,73.0,6965.338836669921,44,1,0,0
916,2020-01-17 00:00:00,110.0,11029.8945007324,44,1,0,0
917,2020-01-17 00:00:00,17.483333587646502,1275.98877620697,44,1,0,0
130,2020-01-26 00:00:00,110.0,11313.631103515601,44,1,0,0
1469,2020-02-02 00:00:00,110.0,12577.117958068799,44,1,0,0
